bathrooms,bedrooms,condition,floors,grade,id,Price,sqft_above,sqft_basement,sqft_living,sqft_lot,waterfront,yr_built,yr_renovated
2,4,5,2,7,A12037,365000,1904,0,1904,8200,0,1999,0
1,4,3,2,7,A12038,257000,1400,0,1400,8500,0,1975,0
2,3,3,2,8,A12039,420000,2140,0,2140,3821,0,2005,0
1,3,5,1,7,A12040,338995,1320,0,1320,9450,0,1943,0
1,3,4,1,7,A12041,615000,1330,1290,2620,8280,0,1948,0
0,4,3,2,8,A12042,312500,2300,0,2300,5570,0,1996,0
2,4,3,2,8,A12043,513000,2000,0,2000,5684,0,1996,0
2,4,3,2,9,A12044,857500,2210,750,2960,5040,0,1952,1993
2,3,4,1.5,10,A12045,1060000,2700,0,2700,22343,0,1977,0
1,3,4,1,8,A12046,585000,1150,590,1740,9500,0,1958,0
2,2,3,1,7,A12047,350500,1770,0,1770,4950,0,2003,0
2,3,3,1,7,A12048,215000,1290,0,1290,9312,0,1947,0
2,4,4,1.5,7,A12049,440000,1450,0,1450,8400,0,1962,0
2,3,4,1,7,A12050,270000,1130,290,1420,7800,0,1985,0
0,3,5,1,7,A12051,385000,1330,0,1330,7020,0,1924,0
1,3,4,1.5,7,A12052,688500,1760,0,1760,4125,0,1927,0
1,3,5,1,7,A12053,700000,1230,780,2010,4905,0,1912,0
2,5,3,1,8,A12054,585000,1280,1280,2560,14467,0,1960,0
1,2,4,2,7,A12055,401000,1260,0,1260,2625,0,1983,0
2,4,4,1,8,A12056,655000,1890,530,2420,7725,0,1972,0
1,3,3,1,6,A12057,317000,1010,0,1010,5400,0,1959,0
2,4,4,1.5,6,A12058,500000,1770,0,1770,8155,0,1970,1993
1,2,3,1,6,A12059,314963,890,0,890,6350,0,1943,0
1,3,5,2,7,A12060,715000,1670,0,1670,5060,0,1925,0
2,3,3,2,7,A12061,280000,1360,0,1360,9600,0,1992,0
2,3,3,2,9,A12062,531000,2120,0,2120,9736,0,1988,0
2,3,3,2,8,A12063,617000,1910,0,1910,4488,0,1998,0
1,4,3,1.5,7,A12064,440000,1480,0,1480,7560,0,1940,0
1,3,4,1,7,A12065,140000,1090,0,1090,10114,0,1955,0
1,4,5,1,8,A12066,661000,1670,0,1670,13125,0,1973,0
1,4,5,1,8,A12067,697000,1670,0,1670,13125,0,1973,0
2,5,5,2,9,A12068,1200000,2750,900,3650,13297,0,1969,0
2,4,5,1,8,A12069,535000,1030,940,1970,3515,0,1969,0
2,2,4,1.5,6,A12070,404500,1320,0,1320,3060,0,1910,0
1,3,3,1,7,A12071,396500,1100,610,1710,5110,0,1954,0
2,3,4,1,8,A12072,450000,1180,560,1740,9488,0,1977,0
3,3,3,2,8,A12073,605000,1740,460,2200,2400,0,1988,0
2,3,3,2,9,A12074,699000,2010,0,2010,4320,0,1999,0
3,3,3,2,11,A12075,805000,3910,0,3910,19023,0,1985,0
0,1,3,1,4,A12076,156000,470,0,470,15000,0,1947,0
2,4,4,1,8,A12077,595000,1780,550,2330,7064,0,1984,0
1,3,3,1.5,6,A12078,285000,1930,0,1930,7200,0,1929,0
2,4,3,2,9,A12079,725000,3270,0,3270,6055,0,2007,0
2,3,3,2,8,A12080,216300,1650,0,1650,5000,0,1985,0
2,4,4,1,7,A12081,410000,1260,960,2220,8450,0,1983,0
1,2,4,1,7,A12082,597000,1140,1330,2470,4600,0,1916,0
1,3,4,1,7,A12083,325000,1300,0,1300,9300,0,1977,0
2,5,5,1,7,A12084,355000,1530,1000,2530,9375,0,1966,0
1,3,3,1,7,A12085,338000,1200,1200,2400,8215,0,1961,0
2,4,3,2,7,A12086,210000,1500,0,1500,5393,0,1999,0
1,4,3,1,7,A12087,423000,1700,0,1700,9000,0,1967,0
1,4,4,1,7,A12088,249500,1170,950,2120,8554,0,1977,0
2,4,4,2,8,A12089,325000,2240,0,2240,5105,0,2002,0
1,3,4,1,7,A12090,257000,1070,470,1540,8223,0,1987,0
1,3,3,1,8,A12091,550000,1890,0,1890,100623,0,1978,0
1,3,4,2,7,A12092,490000,1260,0,1260,9638,0,1920,0
1,2,3,2,7,A12093,299000,1160,0,1160,3838,0,1983,0
1,2,4,1,6,A12094,295000,1300,0,1300,39639,0,1960,0
2,4,3,2,8,A12095,630000,3220,0,3220,14463,0,1978,0
1,4,5,1,7,A12096,320000,1010,1010,2020,8474,0,1962,0
2,4,5,1,8,A12097,1110000,2100,890,2990,8640,0,1959,0
1,4,4,1,7,A12098,398000,1420,0,1420,6458,0,1953,0
1,3,3,1,7,A12099,218000,1020,0,1020,7874,0,1956,0
2,4,3,2,8,A12100,590000,2400,0,2400,104108,0,1988,0
3,5,3,2,10,A12101,1600000,2540,1100,3640,8239,0,1982,0
2,2,3,2,8,A12102,348500,1550,0,1550,1824,0,2007,0
2,2,3,1,8,A12103,592500,1870,0,1870,4751,0,2006,0
2,3,3,2,8,A12104,505000,2340,0,2340,5957,0,1995,0
4,5,3,2,10,A12105,1430000,2260,1090,3350,3600,0,2014,0
1,3,5,1,7,A12106,502000,1140,570,1710,5000,0,1921,0
2,2,3,1,7,A12107,257500,1180,0,1180,9265,0,1940,0
1,3,3,1,7,A12108,405000,1600,0,1600,7500,0,1966,0
1,3,4,1,7,A12109,427000,1300,0,1300,5111,0,1959,0
1,3,4,1,7,A12110,290000,1040,0,1040,9997,0,1955,0
1,3,3,1,7,A12111,222000,1220,0,1220,7695,0,1954,0
2,3,3,2,8,A12112,315000,2240,0,2240,6097,0,2002,0
1,3,3,1,7,A12113,371000,1420,0,1420,4500,0,1959,0
1,3,3,1,7,A12114,279900,1580,0,1580,6620,0,1988,0
1,3,2,1,7,A12115,250000,1890,500,2390,23522,0,1938,1968
2,4,4,2,8,A12116,599000,1400,860,2260,29930,0,1977,0
1,3,4,1,7,A12117,267300,1890,0,1890,93218,0,1964,0
1,2,4,1,7,A12118,585000,1070,760,1830,7200,0,1949,0
1,3,3,1,6,A12119,350000,1000,0,1000,8268,0,1969,0
1,3,3,1,8,A12120,506000,1480,700,2180,7700,0,1961,0
2,6,4,2,8,A12121,400000,2320,0,2320,210830,0,1962,0
1,3,3,1,6,A12122,151100,840,0,840,4495,0,1921,0
1,3,3,1,6,A12123,251000,840,0,840,4495,0,1921,0
2,4,4,1,8,A12124,555000,1430,920,2350,8140,0,1977,0
1,3,3,1,7,A12125,467500,2040,0,2040,273556,0,1997,0
2,4,3,2,8,A12126,479000,2370,0,2370,30378,0,1996,0
2,5,5,1,7,A12127,247000,1060,530,1590,9350,0,1962,0
1,3,3,1,7,A12128,299500,1380,0,1380,10875,0,1977,0
